,index,over,batter,bowler,non_striker,runs,wickets,extras,review,batter_runs,extras_runs,total_runs,player_out,wicket_type,wides,legbyes,byes,no_ball,fielders_involved_in_wicket
160,35,6.0,RA Tripathi,MG Bracewell,Ishan Kishan,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
161,36,6.0,RA Tripathi,MG Bracewell,Ishan Kishan,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
162,37,6.0,Ishan Kishan,MG Bracewell,RA Tripathi,"{'batter': 4, 'extras': 0, 'total': 4}",,,,4,0,4,0,0,0,0,0,0,0
163,38,6.0,Ishan Kishan,MG Bracewell,RA Tripathi,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
164,39,7.0,RA Tripathi,GD Phillips,Ishan Kishan,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
165,40,7.0,Ishan Kishan,GD Phillips,RA Tripathi,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
166,41,7.0,Ishan Kishan,GD Phillips,RA Tripathi,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
167,42,7.0,Ishan Kishan,GD Phillips,RA Tripathi,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
168,43,7.0,Ishan Kishan,GD Phillips,RA Tripathi,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
169,44,7.0,Ishan Kishan,GD Phillips,RA Tripathi,"{'batter': 4, 'extras': 0, 'total': 4}",,,,4,0,4,0,0,0,0,0,0,0
170,45,8.0,RA Tripathi,IS Sodhi,Ishan Kishan,"{'batter': 4, 'extras': 0, 'total': 4}",,,,4,0,4,0,0,0,0,0,0,0
171,46,8.0,RA Tripathi,IS Sodhi,Ishan Kishan,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
172,47,8.0,Ishan Kishan,IS Sodhi,RA Tripathi,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
173,48,8.0,Ishan Kishan,IS Sodhi,RA Tripathi,"{'batter': 0, 'extras': 1, 'total': 1}",,{'wides': 1},,0,1,1,0,0,1,0,0,0,0
174,49,8.0,Ishan Kishan,IS Sodhi,RA Tripathi,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
175,50,8.0,RA Tripathi,IS Sodhi,Ishan Kishan,"{'batter': 2, 'extras': 0, 'total': 2}",,,,2,0,2,0,0,0,0,0,0,0
176,51,8.0,RA Tripathi,IS Sodhi,Ishan Kishan,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
177,52,9.0,Ishan Kishan,GD Phillips,RA Tripathi,"{'batter': 2, 'extras': 0, 'total': 2}",,,,2,0,2,0,0,0,0,0,0,0
178,53,9.0,Ishan Kishan,GD Phillips,RA Tripathi,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
179,54,9.0,Ishan Kishan,GD Phillips,RA Tripathi,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
180,55,9.0,Ishan Kishan,GD Phillips,RA Tripathi,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
181,56,9.0,Ishan Kishan,GD Phillips,RA Tripathi,"{'batter': 1, 'extras': 0, 'total': 1}","[{'player_out': 'Ishan Kishan', 'fielders': [{'name': 'GD Phillips'}, {'name': 'MJ Santner'}], 'kind': 'run out'}]",,,1,0,1,Ishan Kishan,run out,0,0,0,0,"GD Phillips, MJ Santner"
182,57,9.0,RA Tripathi,GD Phillips,SA Yadav,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
183,58,10.0,SA Yadav,MJ Santner,RA Tripathi,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
184,59,10.0,SA Yadav,MJ Santner,RA Tripathi,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
185,60,10.0,SA Yadav,MJ Santner,RA Tripathi,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
186,61,10.0,RA Tripathi,MJ Santner,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
187,62,10.0,SA Yadav,MJ Santner,RA Tripathi,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
188,63,10.0,RA Tripathi,MJ Santner,SA Yadav,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
189,64,11.0,SA Yadav,IS Sodhi,RA Tripathi,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
190,65,11.0,RA Tripathi,IS Sodhi,SA Yadav,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
191,66,11.0,RA Tripathi,IS Sodhi,SA Yadav,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
192,67,11.0,RA Tripathi,IS Sodhi,SA Yadav,"{'batter': 0, 'extras': 0, 'total': 0}","[{'player_out': 'RA Tripathi', 'fielders': [{'name': 'GD Phillips'}], 'kind': 'caught'}]",,,0,0,0,RA Tripathi,caught,0,0,0,0,GD Phillips
193,68,11.0,Washington Sundar,IS Sodhi,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
194,69,11.0,SA Yadav,IS Sodhi,Washington Sundar,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
195,70,12.0,Washington Sundar,GD Phillips,SA Yadav,"{'batter': 4, 'extras': 0, 'total': 4}",,,,4,0,4,0,0,0,0,0,0,0
196,71,12.0,Washington Sundar,GD Phillips,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
197,72,12.0,SA Yadav,GD Phillips,Washington Sundar,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
198,73,12.0,SA Yadav,GD Phillips,Washington Sundar,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
199,74,12.0,SA Yadav,GD Phillips,Washington Sundar,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
200,75,12.0,SA Yadav,GD Phillips,Washington Sundar,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
201,76,13.0,SA Yadav,IS Sodhi,Washington Sundar,"{'batter': 2, 'extras': 0, 'total': 2}",,,,2,0,2,0,0,0,0,0,0,0
202,77,13.0,SA Yadav,IS Sodhi,Washington Sundar,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
203,78,13.0,Washington Sundar,IS Sodhi,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
204,79,13.0,SA Yadav,IS Sodhi,Washington Sundar,"{'batter': 0, 'extras': 1, 'total': 1}",,{'wides': 1},,0,1,1,0,0,1,0,0,0,0
205,80,13.0,SA Yadav,IS Sodhi,Washington Sundar,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
206,81,13.0,Washington Sundar,IS Sodhi,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
207,82,13.0,SA Yadav,IS Sodhi,Washington Sundar,"{'batter': 2, 'extras': 0, 'total': 2}",,,,2,0,2,0,0,0,0,0,0,0
208,83,14.0,Washington Sundar,MG Bracewell,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
209,84,14.0,SA Yadav,MG Bracewell,Washington Sundar,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
210,85,14.0,Washington Sundar,MG Bracewell,SA Yadav,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
211,86,14.0,Washington Sundar,MG Bracewell,SA Yadav,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
212,87,14.0,Washington Sundar,MG Bracewell,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
213,88,14.0,SA Yadav,MG Bracewell,Washington Sundar,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
214,89,15.0,SA Yadav,GD Phillips,Washington Sundar,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
215,90,15.0,SA Yadav,GD Phillips,Washington Sundar,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
216,91,15.0,SA Yadav,GD Phillips,Washington Sundar,"{'batter': 0, 'extras': 0, 'total': 0}","[{'player_out': 'Washington Sundar', 'fielders': [{'name': 'BM Tickner'}], 'kind': 'run out'}]",,"{'by': 'New Zealand', 'umpire': 'Nitin Menon', 'batter': 'SA Yadav', 'decision': 'struck down'}",0,0,0,Washington Sundar,run out,0,0,0,0,BM Tickner
217,92,15.0,HH Pandya,GD Phillips,SA Yadav,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
218,93,15.0,HH Pandya,GD Phillips,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
219,94,15.0,SA Yadav,GD Phillips,HH Pandya,"{'batter': 0, 'extras': 1, 'total': 1}",,{'wides': 1},,0,1,1,0,0,1,0,0,0,0
220,95,15.0,SA Yadav,GD Phillips,HH Pandya,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
221,96,16.0,SA Yadav,IS Sodhi,HH Pandya,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
222,97,16.0,HH Pandya,IS Sodhi,SA Yadav,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
223,98,16.0,HH Pandya,IS Sodhi,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
224,99,16.0,SA Yadav,IS Sodhi,HH Pandya,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
225,100,16.0,HH Pandya,IS Sodhi,SA Yadav,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
226,101,16.0,HH Pandya,IS Sodhi,SA Yadav,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
227,102,17.0,HH Pandya,MS Chapman,SA Yadav,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
